E,FSR_primary,FSR_secondary,IFA_primary,IFA_secondary,direct_gamma_primary,direct_gamma_secondary,total,total_primary,total_secondary
596.418,1.869973e+17,700739000000000.0,2.928102e+18,1.262747e+16,3.40096e+17,1.323644e+18,4.792167509e+18,3.4551953e+18,1.336972209e+18
627.473,1.684195e+17,517814300000000.0,2.675879e+18,9481319000000000.0,3.86932e+17,1.066488e+18,4.3077176333e+18,3.2312305e+18,1.0764871333e+18
660.145,1.507945e+17,381643100000000.0,2.429647e+18,7058524000000000.0,4.39556e+17,8.39744e+17,3.8671816671e+18,3.0199975e+18,8.471841671e+17
694.518,1.3407940000000002e+17,277952900000000.0,2.189744e+18,5210757000000000.0,4.9881100000000026e+17,6.63729e+17,3.4918521099e+18,2.8226344e+18,6.692177099e+17
730.68,1.182442e+17,200789000000000.0,1.956709e+18,3817393000000000.0,5.6493100000000006e+17,5.19439e+17,3.163341382e+18,2.6398842e+18,5.23457182e+17
768.726,1.032818e+17,143780800000000.0,1.731396e+18,2772689000000000.0,6.3874e+17,4.0195e+17,2.8782842698e+18,2.4734178e+18,4.048664698e+17
808.752,8.920863e+16,101622200000000.0,1.515033e+18,1992337000000000.0,7.202999999999997e+17,3.0867e+17,2.6353055892e+18,2.32454163e+18,3.107639592e+17
850.863,7.605925e+16,71264150000000.0,1.30923e+18,1417514000000000.0,8.09448e+17,2.32242e+17,2.42846802815e+18,2.19473725e+18,2.3373077815e+17
895.166,6.390972e+16,49350390000000.0,1.115724e+18,999135300000000.0,9.05735e+17,1.77185e+17,2.26360220569e+18,2.08536872e+18,1.7823348569e+17
941.777,5.283343000000001e+16,33938720000000.0,9.364922e+17,695441100000000.0,1.0070600000000003e+18,1.3044e+17,2.1275550098200003e+18,1.9963856300000003e+18,1.3116937982e+17
990.814,4.291397e+16,23026090000000.0,7.73317e+17,478824700000000.0,1.11068e+18,9.614e+16,2.02355282079e+18,1.92691097e+18,9.664185079e+16
